+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |  i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][11]_srl8/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][2]_srl8_srlopt/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |                                     i_system_wrapper/system_i/LVDSIF/dataPackager_0/inst/o_data_reg[10]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |                                     i_system_wrapper/system_i/LVDSIF/dataPackager_0/inst/o_data_reg[12]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[1]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][4]_srl8_srlopt/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[4]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[0].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[5]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |                                      i_system_wrapper/system_i/LVDSIF/dataPackager_0/inst/o_data_reg[8]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][10]_srl8_srlopt/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][1]_srl8_srlopt/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |                                     i_system_wrapper/system_i/LVDSIF/dataPackager_0/inst/o_data_reg[13]/D|
| clk_out3_system_clk_wiz_0_0 |                   rx_clk |i_system_wrapper/system_i/system_ila_0/inst/ila_lib/inst/ila_core_inst/shifted_data_in_reg[7][5]_srl8_srlopt/D|
